InventoryID,Glottocode,Dialect,LanguageName,BibTexKey,Filename,Contributor,MetadataComments,PhoibleID
1,abau1245,,Abau,bailey1975abau,,Einav Levanon,,
2,abui1241,,Abui,kratochvil2007abui,,Elad Eisen,,
3,abun1252,,Abun,berry1999abun,,Einav Levanon,,
4,achi1257,,Achinese,asyik1987achinese,,Einav Levanon,,
5,agua1253,,Aguaruna,overall2017aguaruna,,NA,,
6,musa1266,,Aisi,daniels2015sogeram,,Einav Levanon,,
7,akaj1239,,Aka-Jeru,abbi2013greatandamanese,,NA,,
8,aleu1260,,Aleut,bergsland1997aleut,,Elad Eisen,,
9,chal1275,alqo1238,Alqosh,coghill2004alqosh,,KurdistanDB,,
10,amap1240,,Ama (Papua New Guinea),aarsjo1999ama,,Einav Levanon,,
13,wara1294,,Anta-Komnzo-Wára-Wérè-Kémä,dohler2016komnzo,,Einav Levanon,,
14,lish1245,arbe1239,Arbel,khan1999arbel,,KurdistanDB,,
15,stan1288,riop1234,Argentinian Spanish,honsa1965argentinianspanish,honsa1965argentinianspanish,Elad Eisen,glottocode is for Standard Spanish,
16,asil1242,,Asilulu,collins2003asilulu,,Einav Levanon,,
17,awiy1238,,Awiyaana,Bees1965,auy_SPA1979_phon.pdf,Steven Moran,,57
18,bafu1246,,Bafut,tamanji2009bafut,,Elad Eisen,,
19,bamb1262,,Bambassi,ahland2009bambassi,,Eitan Grossman,,
20,bash1264,,Bashkir,poppe1964bashkir,,Dmitry Nikolaev,,
21,basq1248,,Basque,"Ndiaye1970,Gavel1929",eus_SPA1979_phon.pdf,Steven Moran,,179
22,assy1241,bazz1238,Baz,mutzafi2000maha_khtaya,,KurdistanDB,,
23,bela1254,,Belarusian,mayo1993belorussian,,Dmitry Nikolaev,,
24,beng1280,,Bengali,FergusonChowdhury1960,ben_SPA1979_phon.pdf,Steven Moran,,177
25,lish1247,beta1257,Bétanure,mutzafi2008betanure,,KurdistanDB,,
26,bett1235,,Betta Kurumba,coelho2003bettakurumba,,Dmitry Nikolaev,,
27,biak1248,,Biak,heuvel2006biak,,Elad Eisen,,
28,bier1244,,Bierebo,budd2010bierebo,,Einav Levanon,,
29,boht1238,,Bohtan Neo-Aramaic,fox2009bohtan,,KurdistanDB,,
30,bret1244,,Breton,Ternes1970,bre_SPA1979_phon.pdf,Steven Moran,,157
31,bulg1262,,Bulgarian,"Aronson1968,Klagstad1958",bul_SPA1979_phon.pdf,Steven Moran,,167
32,nucl1310,,Burmese,wheatley2003burmese,,Eitan Grossman,,
33,buru1296,,Burushaski,Morgenstierne1945,bsk_SPA1979_phon.pdf,Steven Moran,,6
34,cahu1264,,Cahuilla,seiler1977cahuilla,,David Ginebra,,
