"InventoryID","BorrowingLanguageGlottocode","BorrowedSound","SourceLanguageGlottocode","OnlyInLoanwords","Result","NewDistinction","PhonemeComments","Verified","Glottocode","LanguageName","BibTexKey","Filename","Contributor","MetadataComments","PhoibleID","ClosestNeighbor"
1,"abau1245","d̠ʒ","tokp1240","yes","new phoneme","affricate",NA,NA,"abau1245","Abau","bailey1975abau",NA,"Einav Levanon",NA,NA,NA
1,"abau1245","t","tokp1240","no","phonologization of allophone","no","allophone of /r/ in native phonology",NA,"abau1245","Abau","bailey1975abau",NA,"Einav Levanon",NA,NA,NA
2,"abui1241","ɡ","stan1306, indo1316","yes","new phoneme","no","Source language: Papuan Malay?","Eitan Grossman","abui1241","Abui","kratochvil2007abui",NA,"Elad Eisen",NA,NA,NA
2,"abui1241","ɟ","stan1306, indo1316","yes","new phoneme","affricate","Source language: Papuan Malay?","Eitan Grossman","abui1241","Abui","kratochvil2007abui",NA,"Elad Eisen",NA,NA,NA
2,"abui1241","ts","stan1306, indo1316","yes","new phoneme","affricate","QUESTION: the author gives /c/ but it is positioned as an affricate, so probably /ts/? Source language: Papuan Malay?","Eitan Grossman","abui1241","Abui","kratochvil2007abui",NA,"Elad Eisen",NA,NA,NA
3,"abun1252","d̠ʒ","stan1306","yes","new phoneme","affricate","Source language: Papuan Malay?",NA,"abun1252","Abun","berry1999abun",NA,"Einav Levanon",NA,NA,NA
3,"abun1252","n̠d̠ʒ","stan1306","yes","new phoneme","affricate","prenasalisation is distinctive in Abau, appears as cluster in Malay. Source language: Papuan Malay?",NA,"abun1252","Abun","berry1999abun",NA,"Einav Levanon",NA,NA,NA
4,"achi1257","f","arab1395","yes","new phoneme","no","often as /β/",NA,"achi1257","Achinese","asyik1987achinese",NA,"Einav Levanon",NA,NA,NA
4,"achi1257","ʃ","unknown","no","other distributional change","no","appears in two interjections",NA,"achi1257","Achinese","asyik1987achinese",NA,"Einav Levanon",NA,NA,NA
5,"agua1253","ɾ","stan1288, huam1247","no","new phoneme","tap, rhotic","there is a native phoneme /ɾ/, attested in very few words mostly onomatopeic which has an allophone /l/. the distinction between /ɾ/ and /l/ is saved in spanish loans. /ɾ/ appears in several names taken from Huambisa. the phoneme /ɾ/ is not associated with historical Chicham rhotic.",NA,"agua1253","Aguaruna","overall2017aguaruna",NA,"NA",NA,NA,NA
6,"musa1266","ɾ","tokp1240","no","phonologization of allophone","flap, liquid","allophone of /d/ in native phonology",NA,"musa1266","Aisi","daniels2015sogeram",NA,"Einav Levanon",NA,NA,NA
7,"akaj1239","h","anda1280","unknown","new phoneme","glottal","aspirasion is phonemic, language is used only within code-switching",NA,"akaj1239","Aka-Jeru","abbi2013greatandamanese",NA,"NA",NA,NA,NA
8,"aleu1260","b","russ1263, stan1293","yes","new phoneme","voicing in plosives","in older loanwords rendered as /m/ or /m̥/, later as /p/ (also borrowed)","Eitan Grossman","aleu1260","Aleut","bergsland1997aleut",NA,"Elad Eisen",NA,NA,NA
8,"aleu1260","d","russ1263, stan1293","yes","new phoneme","voicing in plosives","alternating individually with the native dental fricative, in older loanwords rendered as /t/","Eitan Grossman","aleu1260","Aleut","bergsland1997aleut",NA,"Elad Eisen",NA,NA,NA
8,"aleu1260","e","russ1263, stan1293","no","new phoneme","mid vowels","occurs in native words allophonically, recent borrowing has broadened its distribution","Eitan Grossman","aleu1260","Aleut","bergsland1997aleut",NA,"Elad Eisen",NA,NA,NA
